District,Season,Year,Crop,AvgAirTemp,MinAirTemp,MaxAirTemp,AvgTempSkew,AvgTempKurt,AvgRelHum,AvgRelHumSkew,AvgRelHumKurt,AvgDewPt,AvgDewPtSkew,AvgDewPtKurt,AvgPrec,AvgPrecSkew,AvgPrecKurt,AvgWind,Yield,MLR_Prediction,DT_Prediction
5,4,2008,19,23.53571429,14.1,33.0,-0.402703902,0.7583376629999999,80.86126374,-0.35062335299999997,-0.033748776,20.06263736,-1.1041964659999999,0.721946761,4.682417582,2.685612948,8.02488601,2.910164835,49.74,49.73999999999998,314.74
6,1,2010,37,25.06111111,20.4,40.1,0.8031358959999999,0.242903719,79.04111111,-1.47588082,1.275894509,21.07,-0.899988131,0.655522866,5.665555556,7.975732087999999,2.7757465310000002,5.084444444,0.57,0.5700000000000032,0.57
7,4,2010,8,27.03178082,10.7,48.5,0.701059007,-0.390273235,61.46657534,-0.5402543439999999,-1.08225412,17.62767123,-0.955262225,-0.064868624,4.0314702258318516,6.566479421388269,-0.064868624,4.140273973,2.21,2.209999999999988,2.2
12,4,2005,21,23.98379121,2.3,44.7,-0.38547298799999996,-1.002437198,46.62527473,0.336387965,-0.937881548,10.29010989,0.10471522400000001,-1.055956799,1.8527472530000002,6.3359025660000015,52.14177557,2.201373626,16.37426901,16.374269009999978,16.37426901
1,1,2010,22,29.3,15.0,45.7,1.893076445,4.226786553999999,72.30522876,-0.7258764409999999,-0.23603263600000002,23.63921569,-1.383345389,1.454203648,4.0314702258318516,6.566479421388269,1.454203648,4.058169935,0.5,0.49999999999999833,0.5
5,1,1999,10,25.70394737,20.0,36.9,1.181141424,1.730646729,66.79210526,-1.093754072,1.5528796280000001,18.85,-2.437714851,8.002811312999999,6.980263158,2.197077789,4.908669529,4.723684211,0.38,0.38000000000000506,0.37999999999999995
7,4,2003,32,26.193972600000002,13.3,42.8,1.013218129,0.417956774,61.65945205,-0.066031214,-1.476389018,17.36657534,-0.7980204740000001,-0.109983019,1.773150685,5.51111574,-0.109983019,3.036986301,0.25,0.25000000000000533,0.25
11,2,1998,14,26.47574171,11.4,42.5,0.396709989,-0.63634268,51.01186736,0.18446982,-1.161248235,14.01972077,-0.159017797,-1.160295895,2.6216404890000002,5.45461945,35.80750367,2.8417102969999997,0.52,0.5200000000000021,0.5199999999999999
10,1,1997,30,27.74796748,9.5,40.4,1.47579887,1.6777651409999998,75.44552846,-1.688493588,2.017872654,22.52357724,-2.16907143,5.191889853999999,4.0314702258318516,6.566479421388269,5.191889853999999,2.58699187,1.33,1.330000000000012,1.33
7,1,1997,10,27.06747967,35.0,14.4,0.029661826000000002,-0.734819088,64.11463415,0.07666559099999999,-0.8196368159999999,19.44146341,-0.637053851,-0.369147536,3.944715447,2.251561724,-0.369147536,4.655284553,0.21,0.21000000000001476,0.21000000000000002
3,4,2008,20,26.72630137,9.8,43.9,0.17081911600000002,-0.36206429,48.37616438,0.616785745,-0.747995258,13.59671233,0.009002378,-1.192289427,4.0314702258318516,6.566479421388269,-1.192289427,2.924383562,0.3,0.2999999999999948,0.3
3,1,2011,22,26.6796748,16.7,36.4,0.8854486229999999,1.109106657,75.73414634,-0.76733806,-0.091980744,21.92845528,-1.1645631140000001,1.912524106,7.4,2.350191518,1.912524106,3.4243902439999996,0.69,0.6899999999999958,0.69
7,3,1999,30,31.064754100000002,19.4,42.7,-0.437808924,-1.1357829529999999,32.75327869,1.436180597,1.114684807,11.27377049,0.687148808,-0.14147186,0.9254098359999999,4.8122569539999995,-0.14147186,2.989344262,1.83,1.8300000000000094,1.83
10,2,2008,39,28.13902439,17.1,43.8,1.5635019319999999,1.730665243,67.09837398,-0.8590241829999999,-0.625347553,20.3804878,-1.336807502,0.405499702,4.0314702258318516,6.566479421388269,0.405499702,2.8569105689999996,0.87,0.8700000000000041,0.87
7,2,2009,1,23.37438017,12.4,36.8,-0.16264044,0.168187668,63.28347107,0.20371662199999999,-0.33570878200000004,15.78760331,-0.229797385,-0.038660452000000005,4.0314702258318516,6.566479421388269,-0.038660452000000005,2.862809917,0.34,0.33999999999999425,0.3399999999999999
4,1,1998,30,20.59918699,8.9,34.8,0.4395988420000001,0.058014689,70.97317073,-1.2867790590000001,0.166047592,14.10894309,-0.898441136,-0.420232007,4.0314702258318516,6.566479421388269,-0.420232007,2.401626016,1.32,1.3200000000000165,1.32
